31-03-2002;44132.00
30-06-2002;50117.00
30–09-2002;65067.00
31-12-2002;66494.00
31-03-2003;52583.00
30-06-2003;60798.00
30-09-2003;75812.00
31-12-2003;78151.00
66981.00
78607.00
99405.00
100120.00
88104.00
101707.00
122861.00
128780.00
106348.00
126319.00
152406.00
159080.00
139444.00
166869.00
199535.00
214883.00
191459.00
236033.00
276451.00
244113.00
189028.00
214103.00
250306.00
259908.00
217286.00
256754.00
301251.00
307278.00
257682.00
311022.00
369818.00
363557.00
292894.00
347842.00
389213.00
381289.00
302864.00
353025.00
394731.00
404311.00
316905.00
382391.00
440476.00
447143.00
375525.00
455245.00
563907.00
584781.00
453185.00
531838.00
664717.00
